bairro_id,preco_total,area,quartos,banheiros,vagas
124,3472,82,2,2,1
60,1370,62,2,1,1
83,1240,56,2,1,1
60,885,50,2,1,1
67,1459,82,2,2,0
83,2440,55,2,2,1
20,1665,40,0,0,0
13,3440,380,0,2,0
47,10000,360,0,5,12
7,2147,30,0,1,1
79,2374,70,2,2,1
124,2267,56,2,1,1
20,1150,45,2,1,1
30,2838,80,2,1,0
102,1509,29,0,0,1
89,1538,22,0,1,1
134,2095,54,2,2,1
85,1300,70,2,1,1
26,37976,648,0,2,0
83,2184,65,2,1,1
134,2680,80,2,1,1
124,1260,24,1,1,1
85,1062,60,2,1,1
92,1350,40,2,1,1
83,1470,62,2,2,1
71,1800,34,1,1,0
0,1287,90,2,1,0
21,2000,68,2,1,1
62,4100,75,2,2,1
30,1524,36,0,1,0
124,2225,35,0,1,0
7,6210,96,0,0,1
40,1360,95,3,2,1
98,1550,55,2,1,0
93,1028,47,2,1,1
124,1350,28,0,1,0
26,1173,27,0,0,0
102,1350,25,0,0,1
60,1150,72,2,1,1
43,3600,72,3,2,1
92,870,52,2,1,1
134,2159,65,2,1,1
7,1165,30,0,0,1
65,1730,31,0,1,0
7,1580,35,0,0,1
28,1200,59,2,1,1
72,3520,78,2,1,0
92,1544,50,1,1,1
122,1229,50,2,1,1
20,1140,45,2,1,1
83,935,45,0,1,0
26,900,34,0,1,0
7,1513,22,0,1,1
7,36200,400,4,3,2
7,2210,22,0,0,0
79,1350,55,1,2,1
42,4414,105,2,1,1
111,1500,49,2,1,0
40,1365,55,2,2,0
23,2058,42,1,1,0
89,1450,52,2,1,1
89,3340,78,3,2,1
26,1100,35,1,1,0
85,1180,48,1,1,0
93,1700,50,2,1,1
47,1643,50,1,1,0
26,1145,30,0,1,0
7,2824,51,0,1,0
26,1190,45,0,1,0
12,2052,40,1,1,1
20,900,80,2,2,0
41,15350,1550,0,2,0
26,2500,38,1,0,1
59,2497,40,1,1,0
7,4090,50,1,1,1
44,1280,28,0,0,1
30,3376,70,2,1,0
89,975,20,0,1,1
20,1405,45,2,1,1
20,1020,100,2,1,1
20,1320,50,2,1,1
136,1800,59,2,1,1
26,765,30,0,1,0
7,2825,50,0,1,1
79,2511,73,2,1,1
30,14805,172,4,2,1
2,1600,59,2,1,0
122,1820,44,0,1,1
20,1110,43,2,1,1
83,1400,46,2,1,1
124,2640,71,2,1,1
26,1530,46,1,1,0
26,1035,30,0,2,0
26,1064,33,0,1,0
30,5635,130,2,2,1
100,14000,530,3,4,10
40,1477,84,3,2,1
121,1451,75,2,1,1
