preco,condominio,endereço,area,quartos,vagas,banheiros
R$ 700 /mês,0,"Rua Esperança, Inhoaíba",45 m²,2,1,1
R$ 1.900 /mês,R$ 830,"Rua Desembargador Paulo Alonso, Recreio Dos Bandeirantes",70 m²,2,1,2
R$ 3.200 /mês,R$ 850,"Rua Antônio Parreiras, Ipanema",80 m²,2,1,2
R$ 3.500 /mês,R$ 1.369,"Rua Clarice Índio do Brasil, Botafogo",59 m²,2,1,3
R$ 980 /mês,R$ 430,"Rua Fábio Luz, Méier",70 m²,2,1,1
R$ 2.800 /mês,R$ 1.100,"Leblon, Rio de Janeiro",70 m²,2,0,1
R$ 2.300 /mês,R$ 865,"Rua Barata Ribeiro, Copacabana",70 m²,2,1,1
R$ 1.700 /mês,R$ 550,"Rua Professor Henrique Costa, Pechincha",60 m²,2,1,1
R$ 1.417 /mês,0,"Rua Miranda e Brito, Irajá",100 m²,2,1,1
R$ 4.060 /mês,R$ 850,"Rua Álvaro Ramos, Botafogo",90 m²,2,1,2
R$ 3.500 /mês,R$ 500,"Praça Pio XI, Jardim Botânico",70 m²,2,1,1
R$ 1.200 /mês,R$ 350,"Rua Araguaia, Freguesia- Jacarepaguá",69 m²,2,0,2
R$ 800 /mês,R$ 450,"Estrada do Tindiba, Taquara",36 m²,0,0,1
R$ 11.500 /mês,R$ 1.400,"Estrada dos Bandeirantes, Camorim",440 m²,0,0,2
R$ 10.000 /mês,R$ 1.750,"Rua Filgueiras Lima, Riachuelo",106 m²,0,0,0
